Lat,Long
44.38,-71.66
44.38,-71.67
44.38,-71.68
44.38,-71.69
44.38,-71.7
44.38,-71.71
44.38,-71.72
44.38,-71.73
44.38,-71.74
44.38,-71.75
44.38,-71.76
44.38,-71.77
44.38,-71.78
44.38,-71.79
44.38,-71.8
44.38,-71.81
44.4,-71.66
44.4,-71.67
44.4,-71.68
44.4,-71.69
44.4,-71.7
44.4,-71.71
44.4,-71.72
44.4,-71.73
44.4,-71.74
44.4,-71.75
44.4,-71.76
44.4,-71.77
44.4,-71.78
44.4,-71.79
44.4,-71.8
44.4,-71.81
44.4,-71.66
44.41,-71.67
44.41,-71.68
44.41,-71.69
44.41,-71.7
44.41,-71.71
44.41,-71.72
44.41,-71.73
44.41,-71.74
44.41,-71.75
44.41,-71.76
44.41,-71.77
44.41,-71.78
44.41,-71.79
44.41,-71.8
44.41,-71.81
44.42,-71.66
44.42,-71.67
44.42,-71.68
44.42,-71.69
44.42,-71.7
44.42,-71.71
44.42,-71.72
44.42,-71.73
44.42,-71.74
44.42,-71.75
44.42,-71.76
44.42,-71.77
44.42,-71.78
44.42,-71.79
44.42,-71.8
44.42,-71.81
44.43,-71.66
44.43,-71.67
44.43,-71.68
44.43,-71.69
44.43,-71.7
44.43,-71.71
44.43,-71.72
44.43,-71.73
44.43,-71.74
44.43,-71.75
44.43,-71.76
44.43,-71.77
44.43,-71.78
44.43,-71.79
44.43,-71.8
44.43,-71.81
44.44,-71.66
44.44,-71.67
44.44,-71.68
44.44,-71.69
44.44,-71.7
44.44,-71.71
44.44,-71.72
44.44,-71.73
44.44,-71.74
44.44,-71.75
44.44,-71.76
44.44,-71.77
44.44,-71.78
44.44,-71.79
44.44,-71.8
44.44,-71.81
44.45,-71.66
44.45,-71.67
44.45,-71.68
44.45,-71.69
44.45,-71.7
44.45,-71.71
44.45,-71.72
44.45,-71.73
44.45,-71.74
44.45,-71.75
44.45,-71.76
44.45,-71.77
44.45,-71.78
44.45,-71.79
44.45,-71.8
44.45,-71.81
44.46,-71.66
44.46,-71.67
44.46,-71.68
44.46,-71.69
44.46,-71.7
44.46,-71.71
44.46,-71.72
44.46,-71.73
44.46,-71.74
44.46,-71.75
44.46,-71.76
44.46,-71.77
44.46,-71.78
44.46,-71.79
44.46,-71.8
44.46,-71.81
44.47,-71.66
44.47,-71.67
44.47,-71.68
44.47,-71.69
44.47,-71.7
44.47,-71.71
44.47,-71.72
44.47,-71.73
44.47,-71.74
44.47,-71.75
44.47,-71.76
44.47,-71.77
44.47,-71.78
44.47,-71.79
44.47,-71.8
44.47,-71.81
44.48,-71.66
44.48,-71.67
44.48,-71.68
44.48,-71.69
44.48,-71.7
44.48,-71.71
44.48,-71.72
44.48,-71.73
44.48,-71.74
44.48,-71.75
44.48,-71.76
44.48,-71.77
44.48,-71.78
44.48,-71.79
44.48,-71.8
44.48,-71.81
44.48,-71.66
44.48,-71.67
44.48,-71.68
44.48,-71.69
44.48,-71.7
44.48,-71.71
44.48,-71.72
44.48,-71.73
44.48,-71.74
44.48,-71.75
44.48,-71.76
44.48,-71.77
44.48,-71.78
44.48,-71.79
44.48,-71.8
44.48,-71.81
